Time,HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,LHand,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,RHand,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
41.0001277924,-0.0122070955113,-0.0497868619859,1.29619252682,0.179283604026,-0.587421178818,-0.0351991467178,-0.547004699707,0.643125891685,1.29619252682,-0.179283604026,0.587421178818,0.0351991467178,0.547004699707,0.643125891685,-0.179394498467,0.102727808058,0.128806263208,-0.0922855436802,0.0874718800187,-0.130340233445,-0.179394498467,-0.102727808058,0.128806263208,-0.0922855436802,0.0874718800187,0.130340233445
90.0001525879,-0.0120771974325,-0.0505862422287,1.29576134682,0.178810492158,-0.585860848427,-0.0360334999859,-0.538204431534,0.644009113312,1.29576134682,-0.178810492158,0.585860848427,0.0360334999859,0.538204431534,0.644009113312,-0.179344534874,0.10271781683,0.128796815872,-0.0922339782119,0.0874618887901,-0.130330786109,-0.179344534874,-0.10271781683,0.128796815872,-0.0922339782119,0.0874618887901,0.130330786109
140.000104904,-0.0119638545439,-0.0512837432325,1.29530370235,0.178322643042,-0.584352612495,-0.0369003936648,-0.529647469521,0.644779801369,1.29530370235,-0.178322643042,0.584352612495,0.0369003936648,0.529647469521,0.644779801369,-0.179300948977,0.1027090922,0.12878857553,-0.0921889841557,0.0874531641603,-0.130322545767,-0.179300948977,-0.1027090922,0.12878857553,-0.0921889841557,0.0874531641603,0.130322545767
190.00005722,-0.0117554683238,-0.0525661297143,1.29433000088,0.177309408784,-0.581387579441,-0.0386686101556,-0.512737870216,0.646196782589,1.29433000088,-0.177309408784,0.581387579441,0.0386686101556,0.512737870216,0.646196782589,-0.179220795631,0.102693066001,0.128773421049,-0.0921062603593,0.0874371379614,-0.130307391286,-0.179220795631,-0.102693066001,0.128773421049,-0.0921062603593,0.0874371379614,0.130307391286
240.000009537,-0.0115919802338,-0.0535722188652,1.29347777367,0.176439255476,-0.578952729702,-0.040156327188,-0.49879142642,0.647308528423,1.29347777367,-0.176439255476,0.578952729702,0.040156327188,0.49879142642,0.647308528423,-0.179157927632,0.102680489421,0.128761544824,-0.0920413658023,0.0874245613813,-0.13029551506,-0.179157927632,-0.102680489421,0.128761544824,-0.0920413658023,0.0874245613813,0.13029551506
280.000209808,-0.0114096561447,-0.0546942353249,1.29245758057,0.175410717726,-0.576163291931,-0.041886780411,-0.482764393091,0.648548305035,1.29245758057,-0.175410717726,0.576163291931,0.041886780411,0.482764393091,0.648548305035,-0.179087817669,0.102666467428,0.12874828279,-0.0919689908624,0.0874105393887,-0.130282253027,-0.179087817669,-0.102666467428,0.12874828279,-0.0919689908624,0.0874105393887,0.130282253027
330.000162125,-0.0111023746431,-0.0565852113068,1.29060721397,0.173569872975,-0.571340322495,-0.0449265949428,-0.454957902431,0.650637686253,1.29060721397,-0.173569872975,0.571340322495,0.0449265949428,0.454957902431,0.650637686253,-0.178969621658,0.102642826736,0.128725931048,-0.0918470099568,0.0873868986964,-0.130259901285,-0.178969621658,-0.102642826736,0.128725931048,-0.0918470099568,0.0873868986964,0.130259901285
381.000041962,-0.0108760092407,-0.057978246361,1.28915977478,0.172144860029,-0.56771749258,-0.0472407527268,-0.434007793665,0.652176976204,1.28915977478,-0.172144860029,0.56771749258,0.0472407527268,0.434007793665,0.652176976204,-0.178882569075,0.102625414729,0.128709480166,-0.0917571559548,0.0873694866896,-0.130243450403,-0.178882569075,-0.102625414729,0.128709480166,-0.0917571559548,0.0873694866896,0.130243450403
422.000169754,-0.0106332479045,-0.0594721734524,1.28754222393,0.170563146472,-0.563783586025,-0.0497775487602,-0.411209791899,0.653827667236,1.28754222393,-0.170563146472,0.563783586025,0.0497775487602,0.411209791899,0.653827667236,-0.178789198399,0.102606743574,0.12869182229,-0.0916607826948,0.0873508155346,-0.130225792527,-0.178789198399,-0.102606743574,0.12869182229,-0.0916607826948,0.0873508155346,0.130225792527
464.000225067,-0.0103747900575,-0.0610627047718,1.28575670719,0.168826535344,-0.559551596642,-0.0525301769376,-0.386635899544,0.655585169792,1.28575670719,-0.168826535344,0.559551596642,0.0525301769376,0.386635899544,0.655585169792,-0.178689807653,0.102586857975,0.128673031926,-0.0915581882,0.0873309373856,-0.130207002163,-0.178689807653,-0.102586857975,0.128673031926,-0.0915581882,0.0873309373856,0.130207002163
505.000114441,-0.0101013313979,-0.0627455487847,1.28380584717,0.166937127709,-0.555034577847,-0.0554915890098,-0.360358834267,0.657444596291,1.28380584717,-0.166937127709,0.555034577847,0.0554915890098,0.360358834267,0.657444596291,-0.178584635258,0.102565832436,0.128653153777,-0.0914496406913,0.0873099043965,-0.130187124014,-0.178584635258,-0.102565832436,0.128653153777,-0.0914496406913,0.0873099043965,0.130187124014
556.000232697,-0.00966454483569,-0.0654334872961,1.28057694435,0.163821533322,-0.547752797604,-0.0603092461824,-0.317910045385,0.660414636135,1.28057694435,-0.163821533322,0.547752797604,0.0603092461824,0.317910045385,0.660414636135,-0.178416639566,0.102532222867,0.128621384501,-0.0912762507796,0.087276302278,-0.130155354738,-0.178416639566,-0.102532222867,0.128621384501,-0.0912762507796,0.087276302278,0.130155354738
