,Time,HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,LHand,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,RHand,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
1,90.9998416901,6.19945203653e-05,-0.169934600592,1.47235381603,0.185419246554,-1.19367933273,-0.41038826108,0.100000195205,0.299966841936,1.47235512733,-0.185419291258,1.19368720055,0.410392016172,0.0999998375773,0.299957901239,-0.170000001788,0.0999910533428,0.129980459809,-0.0899807810783,0.0900178179145,-0.129980236292,-0.170000001788,-0.099978402257,0.129984378815,-0.0900000631809,0.090005621314,0.129996284842
2,132.999897003,0.00016983988462,-0.169820845127,1.47234761715,0.185420230031,-1.19362139702,-0.410389661789,0.100001230836,0.299908906221,1.47235238552,-0.185420170426,1.19364917278,0.410402834415,0.0999990031123,0.299884647131,-0.17000003159,0.0999754816294,0.129946470261,-0.089947335422,0.0900488048792,-0.129945844412,-0.17000003159,-0.099940828979,0.129957199097,-0.0900001898408,0.0900153964758,0.129989758134
3,173.999786377,0.000328246678691,-0.169653743505,1.4723367691,0.185421511531,-1.19351840019,-0.410391777754,0.100004076958,0.299823462963,1.47234714031,-0.185421064496,1.19358146191,0.410421967506,0.0999967008829,0.299777060747,-0.170000076294,0.0999526083469,0.129896551371,-0.0898982137442,0.0900943279266,-0.129895344377,-0.170000076294,-0.0998856425285,0.129917278886,-0.0900004133582,0.0900297611952,0.12998008728
4,214.999914169,0.000534942431841,-0.169435709715,1.47232091427,0.185422614217,-1.19336616993,-0.410394459963,0.100009910762,0.299711495638,1.47233903408,-0.185421347618,1.19348144531,0.410450071096,0.0999919772148,0.299636691809,-0.170000165701,0.0999227687716,0.129831418395,-0.0898341238499,0.0901537314057,-0.129829466343,-0.170000165701,-0.0998136326671,0.129865199327,-0.0900007486343,0.0900484994054,0.129967331886
5,255.999803543,0.000787654775195,-0.169169142842,1.47229981422,0.185422882438,-1.19316339493,-0.410397469997,0.10002001375,0.29957395792,1.47232747078,-0.185420200229,1.19334828854,0.410487294197,0.0999837964773,0.299465030432,-0.170000314713,0.0998862832785,0.12975178659,-0.0897557586432,0.0902263447642,-0.129748895764,-0.170000314713,-0.0997255891562,0.129801511765,-0.0900012180209,0.0900714024901,0.129951566458
6,296.999931335,0.00108411093242,-0.168856412172,1.47227334976,0.185421541333,-1.19291043282,-0.410400599241,0.100035727024,0.299411863089,1.47231185436,-0.185416743159,1.19318211079,0.410533517599,0.0999710634351,0.299263656139,-0.170000508428,0.0998434722424,0.129658341408,-0.0896638259292,0.0903115347028,-0.129654377699,-0.170000508428,-0.0996223017573,0.129726797342,-0.0900018438697,0.0900982692838,0.129932850599
7,337.999820709,0.00142203923315,-0.168499946594,1.47224140167,0.185417696834,-1.1926087141,-0.410403758287,0.100058443844,0.299226254225,1.47229158878,-0.185410052538,1.19298386574,0.410588532686,0.099952660501,0.299034148455,-0.17000079155,0.0997946858406,0.12955185771,-0.0895590409636,0.0904086455703,-0.129546657205,-0.17000079155,-0.0995045676827,0.129641652107,-0.0900026485324,0.0901289060712,0.129911273718
8,378.999948502,0.00179916666821,-0.168102130294,1.47220396996,0.185410365462,-1.19225978851,-0.410406768322,0.100089557469,0.299018025398,1.4722661972,-0.185399115086,1.19275474548,0.410651981831,0.0999274551868,0.298777997494,-0.170001149178,0.0997402369976,0.129433006048,-0.0894420966506,0.0905170142651,-0.129426434636,-0.170001149178,-0.0993731766939,0.129546612501,-0.0900036394596,0.090163089335,0.129886895418
9,427.999973297,0.00243338523433,-0.167433127761,1.47213661671,0.185390666127,-1.19165289402,-0.410411030054,0.100155070424,0.298665493727,1.47221696377,-0.185372516513,1.19235610962,0.410762161016,0.0998743847013,0.298347234726,-0.170001879334,0.0996486768126,0.129233151674,-0.0892454385757,0.0906992703676,-0.129224255681,-0.170001879334,-0.0991522222757,0.129386797547,-0.0900055468082,0.0902205854654,0.129845261574
10,469.999790192,0.00289856945165,-0.166942417622,1.4720839262,0.185370132327,-1.19119596481,-0.410413652658,0.100213386118,0.298405110836,1.47217559814,-0.185346439481,1.19205594063,0.410845041275,0.0998271405697,0.298031270504,-0.170002505183,0.0995815098286,0.129086539149,-0.0891011804342,0.0908329412341,-0.129075944424,-0.170002505183,-0.098990149796,0.129269555211,-0.0900071188807,0.090262748301,0.129814207554
11,511.999845505,0.00339499861002,-0.166418761015,1.47202479839,0.185342371464,-1.19069993496,-0.410416066647,0.100285083055,0.298125624657,1.47212648392,-0.185312435031,1.19173002243,0.410934984684,0.0997690632939,0.297694116831,-0.170003250241,0.0995098352432,0.128930106759,-0.0889472439885,0.0909755975008,-0.128917694092,-0.170003250241,-0.0988171994686,0.129144459963,-0.0900089666247,0.0903077498078,0.129780605435
12,561.999797821,0.00419325800613,-0.165576711297,1.47192275524,0.185284689069,-1.18988823891,-0.410419464111,0.100420840085,0.297672629356,1.47203671932,-0.185244187713,1.19119679928,0.411082357168,0.0996590852737,0.29715192318,-0.17000465095,0.099394582212,0.128678545356,-0.0886997133493,0.0912049859762,-0.128663212061,-0.17000465095,-0.0985390916467,0.128943309188,-0.0900122672319,0.0903801098466,0.129725605249
